SendingfirmID,ReceivingfirmID,Start date of Transaction,End date of Transaction,Amount Sent in $,Amount Received in $,ColG,ColH,ColI,ColJ,ColK,SomeCode
153114,153114,40100,43000,2.29,2.31,0.71,0,0,0,0.30775,AR
153114,153114,110100,113000,-65744.3,-65744.3,-20232.8,0,0,0,0.30775,AR
153114,153114,110100,113000,67949.9,67949.9,20232.1,0,0,0,0.29775,AU
113906,1000019,90100,93000,5113.88,5113.96,1573.82,5.11,0,0.001,0.30775,7A
113906,113906,90100,93000,2988,2987.99,855.91,2.99,0,0.001,0.28645,7D
113906,1000019,80100,83000,-5113.88,-5113.96,-1573.82,-5.11,0,0.001,0.30775,7A
113906,113906,80100,83000,-2988,-2987.99,-855.91,-2.99,0,0.001,0.28645,7D
106483,2003855,90100,93000,-16191,-16191,-3554.94,-12.14,0,0.00075,0.219563,7B
106483,2003855,100100,103000,-10046.3,-10046.2,-2205.78,-7.53,0,0.00075,0.219563,7B
106483,2003855,110100,113000,-34074.5,-34074.5,-7481.49,-25.56,0,0.00075,0.219563,7B
260083,260083,100100,103000,31928.6,31928.6,9746.21,31.93,0,0.001,0.30525,6A
260083,1000019,100100,103000,28476.9,28477,8692.6,28.48,0,0.001,0.30525,6A
260083,401951,100100,103000,55115.5,55115.5,11998,41.34,0,0.00075,0.217688,6B
260083,410691,100100,103000,180191,180191,39225.3,135.14,0,0.00075,0.217688,6B
260083,20596600,100100,103000,11951.9,11952,2601.8,8.96,0,0.00075,0.217688,6B
260083,260083,100100,103000,-0.11,-0.07,-0.02,0,0,0.001,0.30525,6A
2003821,2003821,120100,123000,2595.09,2595.12,792.16,2.6,0,0.001,0.30525,6A
2003821,1000019,120100,123000,3058.98,3059,933.76,3.06,0,0.001,0.30525,6A
2003821,2003821,120100,123000,185.23,185.19,56.53,0.19,0,0.001,0.30525,6A
2003821,2003821,10100,13000,-514.98,-514.99,-157.2,-0.51,0,0.001,0.30525,6A
2003821,2003821,20100,22800,-514.98,-514.99,-157.2,-0.51,0,0.001,0.30525,6A
2003821,2003821,30100,33000,-275.43,-275.41,-84.07,-0.28,0,0.001,0.30525,6A
2003821,2003821,40100,43000,-261.23,-261.29,-79.76,-0.26,0,0.001,0.30525,6A
